Section,Category,Detail,Value
Core findings,Compression,Algorithm,"Zstandard (zstd) vs gzip"
Core findings,Compressed size,Advantage,"10–50% smaller"
Core findings,Compressed size,Typical numbers,"20–30% common; up to ~50% on large/ML images"
Core findings,Decompression speed,Advantage,"50–60%+ faster than pigz"
Core findings,Decompression speed,Typical numbers,"2–10× faster than classic gzip"
Core findings,Compression speed,Advantage,"Often faster (multi-threaded by default)"
Core findings,Compression speed,Typical numbers,"5–10× faster than single-thread gzip"
Core findings,Startup impact,Advantage,"Measurable"
Core findings,Startup impact,Typical numbers,"AWS Fargate: up to 27% faster task/pod start; ~½ pull time on multi-GB images"
Why it wins for containers,Layers,Impact,"Smaller → less network transfer"
Why it wins for containers,Decompression,Impact,"Dramatically faster → containers ready sooner"
Why it wins for containers,Compatibility,"BuildKit, containerd, Docker 23+, Podman, CRI-O, major registries incl. Vercel"
Vercel relevance,Recommendation,"Use zstd when pushing to VCR"
Vercel relevance,Optimization,"Feeds into precompiled snapshot for Fluid compute & Sandbox quick boots"
Recommended command,Buildx,"Compression level 3","docker buildx build ... compression=zstd,compression-level=3"
Recommended command,Buildx,"Compression level 9","Extra size reduction, longer builds"
Skill created,Location,"/home/workdir/.grok/skills/zstd-compression/"
Skill created,Name,"zstd-compression"
Skill created,Triggers,"Optimizing image size, pull/startup time, VCR, Buildx, gzip vs zstd comparisons"
Skill created,Contents,"Decision table, Buildx recipe, compatibility notes, Vercel/Fluid-compute context"
