ID,Platform,Feature_ENG,Feature_TH,Description_ENG,Description_TH
1,Claude,Adaptive Reasoning Effort Control,การควบคุมระดับความพยายามในการคิดเหตุผลแบบปรับเปลี่ยนได้,Dynamic reasoning control via effort tiers (standard high xhigh max),ปรับระดับความลึกในการคิดวิเคราะห์ตามความซับซ้อนของคำสั่ง
2,Claude,Proprietary Frontier Models,โมเดลระดับหน้าพรมแดนที่เป็นกรรมสิทธิ์,Powered by Opus 4.7/4.8 and Sonnet 5 for high-precision tasks,ขับเคลื่อนด้วยโมเดลตระกูล Opus และ Sonnet เพื่อความแม่นยำสูง
3,Genspark,Mixture-of-Agents Aggregation,การรวมศูนย์โมเดลด้วย Mixture-of-Agents,Dynamic routing across 80+ SOTA models (GPT-5.4 Claude Grok),กระจายงานอัตโนมัติไปยังโมเดลกว่า 80 โมเดลตามความเหมาะสม
4,Genspark,Super Agent Task Decomposition,การย่อยงานและวางแผนอัตโนมัติด้วย Super Agent,Autonomous task breakdown and execution across multiple tools,แยกย่อยเป้าหมายใหญ่ออกเป็นขั้นตอนย่อยเพื่อดำเนินการอัตโนมัติ
5,Claude,Auto-Scaling Project Retrieval Context,บริบทการค้นคืนข้อมูลในโครงการแบบขยายอัตโนมัติ,1M token capacity with automated RAG vector search mode,รองรับข้อมูลถึง 1 ล้านโทเคนพร้อมระบบดึงข้อมูลเฉพาะจุดอัตโนมัติ
6,Claude,Claude Code Terminal CLI,ระบบสั่งการผ่าน Terminal สำหรับเขียนโค้ด,Terminal-native execution for multi-file codebase edits and git,ทำงานผ่าน Command Line เพื่อแก้ไขโค้ดข้ามหลายไฟล์และจัดการ Git
7,Claude,Claude Code Security,ระบบตรวจสอบความปลอดภัยของซอร์สโค้ด,Automated scanning and patching of code vulnerabilities,ตรวจสอบและแก้ไขช่องโหว่ความปลอดภัยในฐานโค้ดโดยอัตโนมัติ
8,Claude,Live Interactive Artifacts & Inline Editing,ชิ้นงาน Artifacts แบบโต้ตอบได้และแก้ไขได้ทันที,Dynamic HTML React and SVG rendering with highlight editing,แสดงผลโค้ดและ UI แบบโต้ตอบได้ พร้อมแก้ไขเฉพาะจุดทันที
9,Claude,Zero-Token Persistent Dashboards,แดชบอร์ดถาวรที่ไม่เสียโทเคนในการรีเฟรช,Persistent dashboards pulling live API data without token refresh costs,แดชบอร์ดดึงข้อมูลสดผ่าน API โดยไม่เสียค่าโทเคนเมื่อเปิดใหม่
10,Genspark,OpenCode Execution Engine,เครื่องมือประมวลผลการทำงานขั้นสูง OpenCode,High-speed engine handling complex branching logic and edge cases,เครื่องมือประมวลผลความเร็วสูงที่รองรับเงื่อนไขซับซ้อน
11,Genspark,Native 4K Raster Image Synthesis,การสร้างภาพความละเอียดสูงระดับ 4K,Multi-engine high-res image synthesis (Nano Banana 2 Seedream 5),สร้างภาพและกราฟิกการตลาดความละเอียดสูงระดับ 4K
12,Genspark,AI Presentation Deck Builder,เครื่องมือสร้างสไลด์นำเสนออัตโนมัติด้วย AI,Converts unstructured documents or prompts into full slide decks,แปลงเนื้อหาหรือคำสั่งเป็นสไลด์นำเสนอที่จัดรูปเล่มเรียบร้อย
